Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
3265644,Artificial Intelligence: A Modern Approach,Stuart Russell,"Russell, Stuart",Peter Norvig,0136042597,9780136042594,0,4.19,Pearson,Hardcover,1152,2009,1994,1/31/23,7/11/23,data-science,data-science (#3),read,,,,1,0
30422190,Data Mining: Practical Machine Learning Tools and Techniques (Morgan Kaufmann Series in Data Management Systems),Ian H. Witten,"Witten, Ian H.","Eibe Frank, Mark A. Hall, Christopher J. Pal",0128042915,9780128042915,0,3.89,Morgan Kaufmann,Paperback,654,2016,1999,7/20/22,7/11/23,data-science,data-science (#5),read,,,,1,0
17980991,Learning SPARQL: Querying and Updating with SPARQL 1.1,Bob DuCharme,"DuCharme, Bob",,1449371434,9781449371432,0,4.03,O'Reilly Media,Paperback,384,2013,2011,4/1/23,7/11/23,data-science,data-science (#2),read,,,,1,0
50040746,Mathematics for Machine Learning,Marc Deisenroth,"Deisenroth, Marc","A. Aldo Faisal, Cheng Soon Ong",110845514X,9781108455145,0,4.34,Cambridge University Press,Paperback,398,2020,,9/15/22,7/11/23,data-science,data-science (#4),read,,,,1,0
29488592,Understanding Machine Learning: From Theory To Algorithms,CAMBRIDGE INDIA,"INDIA, CAMBRIDGE",,1107512824,9781107512825,0,4.21,Shai Shalev-Shwartz,Paperback,,2015,2014,6/1/23,7/11/23,data-science,data-science (#1),read,,,,1,0
15703332,"A Corner of White (The Colours of Madeleine, #1)",Jaclyn Moriarty,"Moriarty, Jaclyn",,0545397367,9780545397360,0,3.8,Arthur A. Levine Books,Hardcover,375,2013,2012,,8/3/23,,,read,,,,1,0
21750448,A French Girl in New York (The French Girl #1),Anna  Adams,"Adams, Anna",,,9781301560776,0,4.09,Smashwords,ebook,362,2013,2012,,8/3/23,,,read,,,,1,0
17698022,"A Hairy Tail (A Hairy Tail, #1)",Jamie Campbell,"Campbell, Jamie",,,,0,4.3,,Kindle Edition,38,2013,2013,,8/3/23,,,read,,,,1,0
8235178,"Across the Universe (Across the Universe, #1)",Beth Revis,"Revis, Beth",,1595143971,9781595143976,0,3.77,Razorbill,Hardcover,399,2011,2011,12/4/13,8/3/23,,,read,,,,1,0
22557520,"After (After, #1)",Anna Todd,"Todd, Anna",,1476792488,9781476792484,0,3.71,Gallery Books,Paperback,582,2014,2014,,8/3/23,,,read,,,,1,0
