cover,title,author,publisher,isbn,timestamp,activity,details,library
https://img1.od-cdn.com/ImageType-100/0111-1/{45B15CF1-9956-4582-A54B-DD2EE0ACFDB8}Img100.jpg,Drowned,Therese Bohman,Other Press,9781590515259,"August 27, 2023 11:46",Returned, 2 days  early,Ocean State Libraries eZone
https://img1.od-cdn.com/ImageType-100/1531-1/{1AD94572-F9E2-46DE-B958-F477F27DC40B}Img100.jpg,Among Others,Jo Walton,"Little, Brown Book Group","","August 27, 2023 11:46",Returned, 2 days  early,Alexandria Library
https://img1.od-cdn.com/ImageType-100/3660-1/{A5944B95-D814-44D4-8204-7F2C95664C37}Img100.jpg,The Iron Knight,Julie Kagawa,Harlequin Teen,9781460800805,"August 27, 2023 11:46",Returned, 10 days  early,Christchurch City Libraries
https://img1.od-cdn.com/ImageType-100/0293-1/{98029A86-A1E8-44F8-A93F-374C36D16C2C}IMG100.JPG,Truly Devious,Maureen Johnson,HarperCollins,9780062338075,"August 25, 2023 11:46",Borrowed, 14 days ,Christchurch City Libraries
https://img1.od-cdn.com/ImageType-100/0439-1/{8AFE17C7-2514-4C19-8B4B-02C7B6F63E0C}IMG100.JPG,The House Is on Fire,Rachel Beanland,Simon & Schuster,9781982186166,"August 25, 2023 11:45",Borrowed, 14 days ,Christchurch City Libraries
https://img1.od-cdn.com/ImageType-100/6852-1/{D5AC4025-8FCC-49D0-B7B5-7358B251194F}Img100.jpg,"The Secret, Book & Scone Society",Ellery Adams,Kensington Books,9781496712394,"August 25, 2023 11:37",Borrowed, 14 days ,Christchurch City Libraries
https://img1.od-cdn.com/ImageType-100/2363-1/{B56409F6-F3F2-4AA5-B722-FCF5122B3953}IMG100.JPG,The Intruder,Peter Blauner,Open Road Media,9781504072823,"August 25, 2023 11:34",Borrowed, 14 days ,Christchurch City Libraries
https://img1.od-cdn.com/ImageType-100/0174-1/{E47EB600-5823-4E42-BDFA-C85D3A5419F7}IMG100.JPG,A Game of Fate,Scarlett St. Clair,Sourcebooks,9781728258492,"August 25, 2023 11:01",Borrowed, 14 days ,Christchurch City Libraries
https://img1.od-cdn.com/ImageType-100/6852-1/{42D40955-8125-40CD-9821-B43E4D7F2D8C}IMG100.JPG,Don't Believe It,Charlie Donlea,Pinnacle Books,9780786042234,"August 25, 2023 09:32",Returned,on due date,Alexandria Library
https://img1.od-cdn.com/ImageType-100/0305-1/{85C7572F-80FF-4F73-81D5-79119DE2980A}IMG100.JPG,Restart,Gordon Korman,Scholastic Inc.,9781338053784,"August 25, 2023 02:27",Borrowed,"",Christchurch City Libraries
https://img1.od-cdn.com/ImageType-100/3660-1/{6A3DD4DE-C593-49C1-B413-7D20796538FE}Img100.jpg,The Iron Daughter,Julie Kagawa,Harlequin Teen,9781742785639,"August 24, 2023 05:12",Returned, 12 days  early,Christchurch City Libraries
https://img1.od-cdn.com/ImageType-100/3660-1/{A5944B95-D814-44D4-8204-7F2C95664C37}Img100.jpg,The Iron Knight,Julie Kagawa,Harlequin Teen,9781460800805,"August 24, 2023 03:42",Borrowed, 14 days ,Christchurch City Libraries
https://img1.od-cdn.com/ImageType-100/3660-1/{BDF95E6F-6E75-40B9-9A1C-485B62E0048E}Img100.jpg,The Iron Queen,Julie Kagawa,Harlequin Teen,9781742901220,"August 23, 2023 12:33",Borrowed,"",Christchurch City Libraries
https://img1.od-cdn.com/ImageType-100/0111-1/{D864731B-952C-41C0-8DD0-3AEC4C3CC821}Img100.jpg,Oval,Elvia Wilk,Catapult,9781593764340,"August 23, 2023 06:43",Returned, 7 days  early,Ocean State Libraries eZone
https://img1.od-cdn.com/ImageType-100/1071-1/{7C3ACB2C-132B-4F40-8D82-11B3CB66EBA8}Img100.jpg,The Iron King,Julie Kagawa,Harlequin,"","August 23, 2023 06:43",Returned, 7 days  early,Ocean State Libraries eZone
https://img1.od-cdn.com/ImageType-100/3660-1/{6A3DD4DE-C593-49C1-B413-7D20796538FE}Img100.jpg,The Iron Daughter,Julie Kagawa,Harlequin Teen,9781742785639,"August 23, 2023 01:43",Borrowed, 14 days ,Christchurch City Libraries
https://img1.od-cdn.com/ImageType-100/2363-1/{6683E311-33F0-4252-B4A8-2E5502D530A5}IMG100.JPG,Getting It Right,A.M. Arthur,Harlequin,9781426899577,"August 22, 2023 11:54",Returned, 7 days  early,Ocean State Libraries eZone
https://img1.od-cdn.com/ImageType-100/0292-1/{9A69284A-D7E0-4DA3-B6CE-1594DA8D0BBF}Img100.jpg,Shine,Kate Maryon,HarperCollins Publishers,9780007351961,"August 18, 2023 11:20",Borrowed,"",Christchurch City Libraries
https://img1.od-cdn.com/ImageType-100/0111-1/{5B985682-1CCB-41F6-9383-5076D8DCAB66}Img100.jpg,Fixers,Michael M. Thomas,Melville House,9781612194998,"August 16, 2023 10:22",Borrowed, 14 days ,Alexandria Library
https://img1.od-cdn.com/ImageType-100/0874-1/{57A36A30-22FC-4138-AA97-EB4F4089CB0A}Img100.jpg,Codex,Lev Grossman,HarperCollins,"","August 16, 2023 10:20",Borrowed,"",Alexandria Library
https://img1.od-cdn.com/ImageType-100/0111-1/{B429794B-5655-4A26-BEDD-E121B33F20A7}Img100.jpg,Aleph,Paulo Coelho,Knopf Doubleday Publishing Group,9780307957016,"August 16, 2023 10:17",Borrowed, 14 days ,Alexandria Library
https://img1.od-cdn.com/ImageType-100/0111-1/{2C4AE3A4-E2DA-4301-A283-409553260F1A}Img100.jpg,Everlasting Lane,Andrew Lovett,Melville House,9781612193816,"August 16, 2023 10:15",Borrowed, 14 days ,Alexandria Library
https://img1.od-cdn.com/ImageType-100/1531-1/{1AD94572-F9E2-46DE-B958-F477F27DC40B}Img100.jpg,Among Others,Jo Walton,"Little, Brown Book Group","","August 16, 2023 10:14",Borrowed, 14 days ,Alexandria Library
https://img1.od-cdn.com/ImageType-100/0427-1/{AAB6E76D-8E4D-4830-83F8-03B58FBC2A67}Img100.jpg,The Waiting Rooms,Eve Smith,Orenda Books,9781913193270,"August 16, 2023 10:11",Borrowed, 14 days ,Ocean State Libraries eZone
https://img1.od-cdn.com/ImageType-100/0111-1/{45B15CF1-9956-4582-A54B-DD2EE0ACFDB8}Img100.jpg,Drowned,Therese Bohman,Other Press,9781590515259,"August 16, 2023 09:46",Borrowed, 14 days ,Ocean State Libraries eZone
https://img1.od-cdn.com/ImageType-100/2390-1/{65CFB4DC-8A8F-4E45-83A3-E80099646E0D}IMG100.JPG,Blood and Moonlight,Erin Beaty,"Farrar, Straus and Giroux (BYR)",9781250755827,"August 16, 2023 09:45",Borrowed, 14 days ,Ocean State Libraries eZone
https://img1.od-cdn.com/ImageType-100/0111-1/{D864731B-952C-41C0-8DD0-3AEC4C3CC821}Img100.jpg,Oval,Elvia Wilk,Catapult,9781593764340,"August 16, 2023 09:44",Borrowed, 14 days ,Ocean State Libraries eZone
https://img1.od-cdn.com/ImageType-100/1071-1/{7C3ACB2C-132B-4F40-8D82-11B3CB66EBA8}Img100.jpg,The Iron King,Julie Kagawa,Harlequin,"","August 16, 2023 09:40",Borrowed, 14 days ,Ocean State Libraries eZone
https://img1.od-cdn.com/ImageType-100/2363-1/{6683E311-33F0-4252-B4A8-2E5502D530A5}IMG100.JPG,Getting It Right,A.M. Arthur,Harlequin,9781426899577,"August 16, 2023 09:40",Borrowed, 14 days ,Ocean State Libraries eZone
https://img1.od-cdn.com/ImageType-100/1371-1/{B2F0E916-D2DF-4BA6-A094-64771F8FA7FB}Img100.jpg,Guilty,Norah McClintock,Orca Book Publishers,9781554699933,"August 16, 2023 09:36",Borrowed, 14 days ,Ocean State Libraries eZone
https://img1.od-cdn.com/ImageType-100/6852-1/{80E0DE9D-262C-4571-BFDF-EBFE3CD67FAD}IMG100.JPG,In the Face of the Sun,Denny S. Bryce,Kensington Books,9781496730114,"August 16, 2023 09:36",Borrowed, 14 days ,Alexandria Library
https://img1.od-cdn.com/ImageType-100/2390-1/{F44276DD-4BF2-4EFD-8BF7-CCF24F0CFBEF}IMG100.JPG,Lost in the Moment and Found,Seanan McGuire,Tor Publishing Group,9781250213648,"August 16, 2023 09:35",Borrowed,"",Ocean State Libraries eZone
https://img1.od-cdn.com/ImageType-100/6852-1/{42D40955-8125-40CD-9821-B43E4D7F2D8C}IMG100.JPG,Don't Believe It,Charlie Donlea,Pinnacle Books,9780786042234,"August 11, 2023 09:32",Borrowed, 14 days ,Alexandria Library
https://img1.od-cdn.com/ImageType-100/1523-1/{4107FDA0-400D-495B-91EF-B43ABB06639F}Img100.jpg,The Immortalists,Chloe Benjamin,Penguin Publishing Group,9780735213197,"March 18, 2023 12:41",Returned,on due date,Alexandria Library
https://img1.od-cdn.com/ImageType-100/0293-1/{3B329FDA-D223-4C53-9A35-33F155AE3934}Img100.jpg,Vanishing Girls,Lauren Oliver,HarperCollins,9780062224125,"March 18, 2023 12:39",Returned,on due date,Alexandria Library
https://img1.od-cdn.com/ImageType-100/0111-1/{381F1287-8F2D-44B9-9D79-FB96D342B3F0}Img100.jpg,One More Thing,B. J. Novak,Knopf Doubleday Publishing Group,9780385351843,"March 18, 2023 12:38",Returned,on due date,Alexandria Library
