"","Title","Author l-f","ISBN13","Date Borrowed","Year Read","Author","Additional Authors","ISBN10","Number of Pages","Year Published","Original Publication Year","Date Read","User Genre","Fiction Status","User Tags","Ownership Status","Buy?"
"1","Drowned","Bohman, Therese","9781590515259","08/27/2023",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Among Others","Walton, Jo",NA,"08/27/2023",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","The Iron Knight","Kagawa, Julie","9781460800805","08/27/2023",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Truly Devious","Johnson, Maureen","9780062338075","08/25/2023",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","The House Is on Fire","Beanland, Rachel","9781982186166","08/25/2023",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","The Secret, Book & Scone Society","Adams, Ellery","9781496712394","08/25/2023",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","The Intruder","Blauner, Peter","9781504072823","08/25/2023",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","A Game of Fate","Clair, St., Scarlett","9781728258492","08/25/2023",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Don't Believe It","Donlea, Charlie","9780786042234","08/25/2023",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Restart","Korman, Gordon","9781338053784","08/25/2023",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","The Iron Daughter","Kagawa, Julie","9781742785639","08/24/2023",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","The Iron Knight","Kagawa, Julie","9781460800805","08/24/2023",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","The Iron Queen","Kagawa, Julie","9781742901220","08/23/2023",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Oval","Wilk, Elvia","9781593764340","08/23/2023",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","The Iron King","Kagawa, Julie",NA,"08/23/2023",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","The Iron Daughter","Kagawa, Julie","9781742785639","08/23/2023",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Getting It Right","Arthur, A.M.","9781426899577","08/22/2023",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Shine","Maryon, Kate","9780007351961","08/18/2023",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","Fixers","Thomas, M., Michael","9781612194998","08/16/2023",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
