Book Title,Author l-f,Additional Authors,ISBN-10,ISBN-13,Number of Pages,Year Published,Original Publication Year,Year Read,User Genre,Fiction Status,User Tags,Ownership Status,Buy?
Artificial Intelligence: A Modern Approach,"Russell, Stuart",Peter Norvig,0136042597,9780136042594,1152,2009,1994,2023,data-science,non-fiction,college,own-physical,
Data Mining: Practical Machine Learning Tools and Techniques (Morgan Kaufmann Series in Data Management Systems),"Witten, Ian H.","Eibe Frank, Mark A. Hall, Christopher J. Pal",0128042915,9780128042915,654,2016,1999,2022,data-science,non-fiction,college,own-physical,
An Introduction to Galaxies and Cosmology,"Jones, Mark H.","Robert J. A. Lambourne, Stephen Serjeant",1107492610,9781107492615,450,2015,2004,2018,astronomy,non-fiction,college,own-physical,
The Philosophical Breakfast Club: Four Remarkable Friends Who Transformed Science and Changed the World,"Snyder, Laura J.",,0767930487,9780767930482,448,2011,2011,2018,science,non-fiction,college,,y
"Physics: Volume 1: Asia-Pacific Edition (Physics, #1)","Serway, Raymond A.","John W. Jewett Jr., Kate  Wilson, Anna Wilson",,9780170189309,556,2012,2012,2018,physics,non-fiction,college,own-physical,
Understanding Machine Learning: From Theory To Algorithms,"INDIA, CAMBRIDGE",,1107512824,9781107512825,,2015,2014,2023,data-science,non-fiction,college,own-physical,
Mathematics for Machine Learning,"Deisenroth, Marc","A. Aldo Faisal, Cheng Soon Ong",110845514X,9781108455145,398,2020,2020,2022,data-science,non-fiction,college,own-physical,
An Introduction to the Sun and Stars,"Green, Simon",Mark Jones,1107492637,9.78111E+12,380,,2015,2018,astronomy,non-fiction,college,own-physical,
Elsewhere,"Zevin, Gabrielle",,312367465,9.78031E+12,277,2007,2005,2016,,,,,
An Abundance of Katherines,"Green, John",,0525476881,9780525476887,229,2006,2006,2014,,,,,
Eggs,"Spinelli, Jerry",,0316166464,9780316166461,224,2007,2007,2016,,,,,
Angel Cake,"Cassidy, Cathy",,0141384786,9780141384788,224,2009,2009,2014,,,,,
BOUND (#1 in The Crystor Series),"Bryant, C.K.",,,9781465791498,,2011,2011,2014,,,,,
Breath of Life (The Gaian Consortium #2),"Pope, Christine",,,,130,2011,2011,2015,,,,,
"Clockwise (Clockwise, #1)","Strauss, Elle",,1466440961,9.78147E+12,285,2015,2011,2015,,,,,
"Deep Blue Secret (The Water Keepers, #1)","Anderson, Christie",,1463768591,9781476298061,358,2012,2011,2015,,,,,
"City of the Falling Sky (Seckry Sequence, #1)","Evans, Joseph",,0957291205,9780957291201,392,2012,2011,2016,,,,,
Entangled,"Clarke, Cat",,1849163944,9.78185E+12,385,2017,2011,2016,,,,,
"A Corner of White (The Colours of Madeleine, #1)","Moriarty, Jaclyn",,0545397367,9780545397360,375,2013,2012,2014,,,,,
A French Girl in New York (The French Girl #1),"Adams, Anna",,,9781301560776,362,2013,2012,2015,,,,,
"Barbie Girl (Baby Doll, #1)","Acosta, Heidi",,,9781301739783,273,2012,2012,2015,,,,,
"A Hairy Tail (A Hairy Tail, #1)","Campbell, Jamie",,,,38,2013,2013,2015,,,,,
"After (After, #1)","Todd, Anna",,1476792488,9781476792484,582,2014,2014,2015,,,,,
"Love, Theoretically","Hazelwood, Ali",,1408725797,9781408725795,389,2023,2023,,,,to-read,,
The Do-Over,"Park, Suzanne",,0063216051,9780063216051,368,2023,2023,,,,to-read,,
Learning SPARQL: Querying and Updating with SPARQL 1.1,"DuCharme, Bob",,1449371434,9781449371432,384,2013,2011,2023,data-science,non-fiction,work,own-physical,
Grimm's Fairy Stories,"Grimm, Jacob",Wilhelm Grimm,,,144,2004,1812,2014,,,,,
The Complete Poems of John Keats,"Keats, John",,,,512,1994,1820,2021,classical,,,,y
The Secret Garden,"Burnett, Frances Hodgson",,0517189607,9780517189603,331,1998,1911,2007,,,,,y
Murder in the Cathedral,"Eliot, T.S.",,0156632772,9780156632775,148,1964,1936,2021,classical,,,,y
Blubber,"Blume, Judy",,,,127,2006,1974,2007,,,,,y
Alice's Adventures in Wonderland & Other Stories,"Carroll, Lewis",John Tenniel,1435122941,9781435122949,1165,2010,1982,2014,,,,,
Letters from the Inside,"Marsden, John",,0330397761,9780330397766,144,,1991,2013,,,,,
Gems and Crystals: From the American Museum of Natural History,"Harlow, George E.","Anna S. Sofianides, Harold Van Pelt, Erica Van Pelt",0671687042,9780671687045,208,1991,1991,2020,science,non-fiction,,,
"The Giver (The Giver, #1)","Lowry, Lois",,0385732554,9780385732550,208,2006,1993,2014,,,,,
Professional Hairdressing: The Official Guide to S/NVQ Level 3,"Green, Martin",Leo Palladino,1844806979,9781844806973,324,2007,1994,2021,,non-fiction,,,
"The Reed field guide to New Zealand geology: An introduction to rocks, minerals, and fossils","Thornton, Jocelyn",,0790004054,9780790004051,226,1997,1997,2021,nature,non-fiction,,,
I am not Esther,"Beale, Fleur",,,9781869799083,,2012,1998,2014,,,,,y
Colorful,"Mori, Eto",Phương Thảo,,9786045357255,280,2016,1998,2023,suspense,,,,
"The Elegant Universe: Superstrings, Hidden Dimensions, and the Quest for the Ultimate Theory","Greene, Brian",,039333810X,9780393338102,464,2010,1999,2015,physics,non-fiction,,own-physical,
Black Box,"Schumacher, Julie",,0385735421,9780385735421,176,2008,2000,2016,,,,,
Summertime Blues,"Clarke, Julia",,0192718711,9780192718716,192,2001,2001,2013,,,,,
Follow the Blue.,"Lowry, Brigid",,3423708549,9783423708548,,2004,2001,2014,,,,,
"Exodus (Exodus, #1)","Bertagna, Julie",,033039908X,9780330399081,337,2003,2002,2013,,,,,
"Hidden Empire (The Saga of Seven Suns, #1)","Anderson, Kevin J.",,0446610577,9780446610575,654,2003,2002,2015,,,,,
Missing Judy,"Cassidy, Anne",,043994998X,9780439949989,,2006,2002,2015,thriller;mystery;suspense,,,,
Freaky Green Eyes,"Oates, Joyce Carol",,0064473481,9780064473484,368,2005,2003,2014,,,,,
"The Secret Language of Girls (The Secret Language of Girls, #1)","Dowell, Frances O'Roark",,1416907173,9781416907176,247,2005,2004,2013,,,,,
"Earth Almanac: A Year of Witnessing the Wild, from the Call of the Loon to the Journey of the Gray Whale","Williams, Ted",Verlyn Klinkenborg,,,257,2020,2004,2021,nature,non-fiction,,,
"The Lightning Thief (Percy Jackson and the Olympians, #1)","Riordan, Rick",,,,377,2006,2005,2014,,,,,y
A Mango-Shaped Space,"Mass, Wendy",,0316058254,9780316058254,221,2005,2005,2014,,,,,y
Indigo Blue,"Cassidy, Cathy",,0141317841,9780141317847,185,2005,2005,2015,,,,,
"The Nannies (Nannies, #1)","Mayer, Melody",,038573283X,9780385732833,274,2005,2005,2017,,,,,
Double duel,"Boulicault, Nancy",,2916238018,9782916238012,95,2005,2005,2021,french,,,,
"Discount Diva (Zodiac Girls, #3)","Hopkins, Cathy",,0753461315,9780753461310,184,2007,2006,2012,,,,,
An Urgent Message of Wowness,"McCombie, Karen",,0439951143,9781407104386,256,2007,2006,2013,,,,,
"Sensational Spylet (Jane Blonde, #1)","Marshall, Jill",,,,260,2006,2006,2014,,,,,
Horus Rising (Horus Heresy #1),"Abnett, Dan",,,9780857870216,412,2010,2006,2015,,,,,
Nobody's Perfect (Deaf Child Crossing #2),"Matlin, Marlee",,1416949763,9781416949763,240,2007,2006,2017,,,,,
"Sophie's Secret (Whispers, #1)","West, Tara",,,,309,2012,2007,2014,,,,,
"The Melting of Maggie Bean (Maggie Bean, #1)","Rayburn, Tricia",,1416933484,9781416933489,250,2007,2007,2014,,,,,y
Waves,"Dogar, Sharon",,0439871808,9780439871808,344,2007,2007,2015,,,,,
"Summer of Secrets (21st Century Austen, #2)","Rushton, Rosie",,1853409073,9781853409073,176,2007,2007,2016,,,,,
The Transformation of Minna Hargreaves,"Beale, Fleur",,,,194,2012,2007,2016,,,,,
Art of Reading Minds,"Fexeus, Henrik",,1250236401,9781250236401,252,2019,2007,2020,,,,,
How to Ditch Your Fairy,"Larbalestier, Justine",,1599903016,9781599903019,304,2008,2008,2013,,,,,
The Truth About My Bat Mitzvah,"Baskin, Nora Raleigh",,1416935584,9781416935582,144,2008,2008,2014,,,,,
Gems & Minerals,"Landmann, Andreas",,0764330667,9780764330667,176,2008,2008,2023,nature,non-fiction,,,
Outside In,"Keighery, Chrissie",,1921502363,9781921502361,183,2012,2009,2013,,,,,
"Evermore (The Immortals, #1)","Noel, Alyson",,031253275X,9780312532758,301,2009,2009,2014,,,,,
Open Fire: Battle Boy 1,"Carter, Charlie",,,,57,2009,2009,2014,,,,,
